A         	Armor Minerals Inc                                
AA.H      	Alba Minerals Ltd                                 
AAC       	Arak Resources Corp                               
AAD       	Added Capital Inc                                 
AAN       	Alexander Nubia Internat                          
AAO       	Augusta Industries Inc                            
AAP       	Alpha Peak Leisure Inc                            
AAT       	Ati Airtest Technologies                          
AAU       	Andeangold Ltd.                                   
AAX       	Advance Gold Corp                                 
AAZ       	Azincourt Uranium Inc                             
AB.H      	Asbestos Corporation Lim                          
ABE       	Abe Resources Inc                                 
ABI       	Abcourt Mines Inc.                                
ABM       	Athabasca Minerals Inc.                           
ABN       	Aben Resources Ltd.                               
ABR       	Ashburton Ventures Inc.                           
ABU       	Abenteuer Resources Corp                          
ABZ       	Asiabasemetals Inc.                               
ACE.H     	Ace Aviation Holdings In                          
ACH       	Arch Biopartners Inc                              
ACK       	Active Growth Capital In                          
ACL       	Acl International Ltd                             
ACN       	Asher Resources Corporat                          
ACS       	Archon Minerals Limited                           
ACU       	Aurora Solar Technologie                          
ADD       	Arctic Star Exploration                           
ADE       	Adex Mining Inc.                                  
ADG       	Arcus Development Group                           
ADI       	Adriana Resources Inc.                            
ADK       	Diagnos Inc.                                      
ADL       	Adira Energy Ltd                                  
ADT       	Adroit Resources Inc.                             
ADZ       	Adamera Minerals Corp                             
AE.A      	Anterra Energy Inc. Cl                            
AEC       	Artisan Energy Corporati                          
AEN       	Antrim Energy Inc                                 
AER       	Alternative Earth Resour                          
AFE       	Africa Energy Corp                                
AFM       	Alphamin Resources Corp.                          
AFR       	African Metals Corporati                          
AFS.H     	Afrasia Mineral Fields Inc.                       
AFY       	Anthem United Inc                                 
AGB       	Atlantic Gold Corporatio                          
AGB.WT    	Atlantic Gold Corp Wts                            
AGC       	Amarillo Gold Corp.                               
AGD       	Antioquia Gold Inc.                               
AGE       	Adventure Gold Inc.                               
AGG       	African Gold Group Inc.                           
AGH       	Canadian Silver Hunter I                          
AGL       	Aguila American Gold Ltd                          
AGM       	Aldridge Minerals Inc.                            
AGO       	Aurcrest Gold Inc                                 
AGQ       	Arian Silver Corp.                                
AGV       	Agave Silver Corp                                 
