ACE       	Acea Spa                                          
ACO       	Acotel Group                                      
ACSM      	Acsm Spa                                          
AEDI      	Aedes                                             
AMP       	Amplifon Spa                                      
ASR       	A.s. Roma                                         
AST       	Astaldi Spa                                       
BCNT      	Basicnet                                          
BE        	Beghelli Spa                                      
BFFI      	Ferraresi                                         
BMPS      	B M Paschi Siena                                  
BNSI      	Beni Stabili                                      
BPSI      	Banca Di Sondrio                                  
BRBI      	Brembo                                            
BRUI      	Brioschi                                          
BSS       	Biesse                                            
BTGI      	Bastogi                                           
BZU       	Buzzi Unicem Spa                                  
CAD       	Cad It                                            
CAI       	Cairo Comunication                                
CARR      	Carraro                                           
CASS      	Cattolica Ass                                     
CED       	Caltagirone Edit                                  
CEMI      	Cementir                                          
CHL       	Chl                                               
CIRX      	Cir-comp                                          
CLE       	Class Editori                                     
CLT       	Cent Latte Torin                                  
CMB       	Cembre                                            
COFI      	Cofide                                            
CPR       	Davide Campari                                    
CRGI      	Banca Carige                                      
CSP       	Csp Int Calze                                     
DA        	Dada                                              
DAL       	Datalogic                                         
DANI      	Danieli                                           
DESI      	Bc Desio Brianza                                  
DIB       	Digital Bros                                      
DLG       	De'longhi                                         
DMA       	Dmail                                             
EDII      	Monrif Spa                                        
ELN       	El En                                             
EM        	Emak Spa                                          
EMBI      	Credito Emiliano                                  
EMII      	Banca Emilia                                      
ENEL      	Enel SpA                                          
ENG       	Engineer Inform                                   
ENI       	Eni SpA                                           
ERG       	Erg                                               
ESPI      	L'espresso                                        
EUE       	Ishares Euro STOX50                               
FDA       	Fidia                                             
FNMI      	Ferr Nord Milano                                  
GE        	Gefran Spa                                        
IF        	Banca Ifis                                        
IGV       	I Grandi Viaggi                                   
IMAI      	Ima                                               
IMSI      	Immsi                                             
IP        	Interpump                                         
ITAI      	Italcementi                                       
ITMI      	FTSE Italia Micro Cap Index                       
ITW       	It Way Spa                                        
JUVE      	Juventus Fc                                       
LDO       	La Doria                                          
LUX       	Luxottica                                         
MDBI      	Mediobanca                                        
MED       	Mediolanum                                        
MNDI      	Mondadori                                         
MOL       	Gruppo MutuiOnline                                
MS        	Mediaset                                          
MTTI      	Mittel                                            
MTV       	Mondo Tv                                          
OLI       	Olidata Spa                                       
PAN       	Panariagroup Industrie Ceramiche                  
PCRE      	Pirelli&c Real E                                  
PCVI      	Cred Valtellines                                  
PECI      	Pirelli Ec                                        
PMII      	Banca Milano                                      
PNNI      	Pininfarina                                       
POLI      	Poligrafici Edt                                   
PRII      	Prima Industrie                                   
PRNI      	Premuda                                           
PRO       	Bca Profilo                                       
PRT       	Esprinet                                          
PSF       	Poligraf.s.faust                                  
RATI      	Ratti                                             
RDM       	Reno De Medici                                    
REY       	Reply                                             
RIC       	Gr Cer Ricchetti                                  
RN        	Risan Napoli                                      
SAB       	Sabaf S.p.a                                       
SARIn     	Bk Sardegna Stk N                                 
SGFI      	Sogefi                                            
SIFI      	Finmeccanica                                      
SNA       	Snai Ord Spa                                      
SOL       	Sol Spa                                           
SPMI      	Saipem                                            
SRG       	Snam Rete Gas                                     
STEP      	Stefanel                                          
STM       	Stmicroelec NV                                    
TFI       	Trevi-fin Indust                                  
TIS       	Tiscali                                           
TOD       	Tod's                                             
TXTS      	Txt E-solutions                                   
UNPI      	Unipol                                            
VIAI      	Vianini Lavori                                    
VITI      	Vittoria                                          
ZUCI      	Zucchi                                            
