ADDA.IDX  	AMEX Advance Decline Difference                   	INDEX     
ADDD.IDX  	OTC Advance Decline Difference                    	INDEX     
ADDE.IDX  	ETFS Advance - Decline                            	INDEX     
ADDN.IDX  	NYSE Advance Decline Difference                   	INDEX     
ADDQ.IDX  	NASD Advance Decline Difference                   	INDEX     
ADDS.IDX  	TSX Advance Decline Difference                    	INDEX     
ADDT.IDX  	Total Advance Decline Difference                  	INDEX     
ADDV.IDX  	Tsxv Advance Decline Difference                   	INDEX     
ADDX.IDX  	CAD Total Advance Decline Difference              	INDEX     
ADR.IDX   	AMEX Internationl Market Index                    	INDEX     
ADRA.IDX  	AMEX Advance Decline Ratio                        	INDEX     
ADRD.IDX  	OTC Advance Decline Ratio                         	INDEX     
ADRE.IDX  	ETFS  Advance Decline Ratio                       	INDEX     
ADRN.IDX  	NYSE Advance Decline Ratio                        	INDEX     
ADRQ.IDX  	NASD Advance Decline Ratio                        	INDEX     
ADRS.IDX  	TSX Advance Decline Ratio                         	INDEX     
ADRT.IDX  	Total Advance Decline Ratio                       	INDEX     
ADRV.IDX  	Tsxv Advance Decline Ratio                        	INDEX     
ADRX.IDX  	CAD Total Advance Decline Ratio                   	INDEX     
ADVA.IDX  	AMEX Advancing Stocks                             	INDEX     
ADVD.IDX  	OTC Advancing Stocks                              	INDEX     
ADVE.IDX  	ETFS  Advancing Stocks                            	INDEX     
ADVN.IDX  	NYSE Advancing Stocks                             	INDEX     
ADVQ.IDX  	NASD Advancing Stocks                             	INDEX     
ADVS.IDX  	TSX Advancing Stocks                              	INDEX     
ADVT.IDX  	Total Advancing Stocks                            	INDEX     
ADVV.IDX  	Tsxv Advancing Stocks                             	INDEX     
ADVX.IDX  	CAD Total Advancing Stocks                        	INDEX     
AEX.IDX   	AEX General - Netherlands                         	INDEX     
AMZ.IDX   	Alerian Mlp Index                                 	INDEX     
ASHD.IDX  	AMEX Declining Stocks                             	INDEX     
ASHF.IDX  	AMEX Advances - Declines                          	INDEX     
ASHR.IDX  	AMEX Advance Decline Ratio                        	INDEX     
ASHU.IDX  	AMEX Advancing Stocks                             	INDEX     
ATX.IDX   	ATX - Austria                                     	INDEX     
ATXR.IDX  	S&P C.S. Ga-Atlanta Home Price Index              	INDEX     
AVDA.IDX  	AMEX Advances Declines Volume Difference          	INDEX     
AVDD.IDX  	OTC Advance Decline Volume Difference             	INDEX     
AVDE.IDX  	ETFS  Advances - Declines Volume                  	INDEX     
AVDN.IDX  	NYSE Advances Declines Volume Difference          	INDEX     
AVDQ.IDX  	NASD Advances Declines Volume Difference          	INDEX     
AVDS.IDX  	TSX Advance Decline Volume Difference             	INDEX     
AVDT.IDX  	Total Advances Declines Volume Difference         	INDEX     
AVDV.IDX  	Tsxv Advance Decline Volume Difference            	INDEX     
AVDX.IDX  	CAD Total Advance Decline Volume Difference       	INDEX     
AVLD.IDX  	AMEX Declining Volume                             	INDEX     
AVLF.IDX  	AMEX Advance Decline Volume Difference            	INDEX     
AVLR.IDX  	AMEX Advance Decline Vol Ratio                    	INDEX     
AVLU.IDX  	AMEX Advancing Volume                             	INDEX     
AVRA.IDX  	AMEX Advance Decline Volume Ratio                 	INDEX     
AVRD.IDX  	OTC Advance Decline Volume Ratio                  	INDEX     
AVRE.IDX  	ETFS  Advance / Decline Volume                    	INDEX     
AVRN.IDX  	NYSE Advance Decline Volume Ratio                 	INDEX     
AVRQ.IDX  	NASD Advance Decline Volume Ratio                 	INDEX     
AVRS.IDX  	TSX Advance Decline Volume Ratio                  	INDEX     
AVRT.IDX  	Total Advance Decline Volume Ratio                	INDEX     
AVRV.IDX  	Tsxv Advance Decline Volume Ratio                 	INDEX     
AVRX.IDX  	CAD Total Advance Decline Volume Ratio            	INDEX     
AVVA.IDX  	AMEX Advancing Volume                             	INDEX     
AVVD.IDX  	OTC Advancing Volume                              	INDEX     
AVVE.IDX  	ETFS  Advancing Volume                            	INDEX     
AVVN.IDX  	NYSE Advancing Volume                             	INDEX     
AVVQ.IDX  	NASD Advancing Volume                             	INDEX     
AVVS.IDX  	TSX Advancing Volume                              	INDEX     
AVVT.IDX  	Total Advancing Volume                            	INDEX     
AVVV.IDX  	Tsxv Advancing Volume                             	INDEX     
AVVX.IDX  	CAD Total Advancing Volume                        	INDEX     
BANK.IDX  	Nasdaq Bank                                       	INDEX     
BCMA.IDX  	Barchart Market Momentum Index Advances           	INDEX     
BCMC.IDX  	Barchart TSX Market Momentum Index                	INDEX     
BCMD.IDX  	Barchart Market Momentum Index Declines           	INDEX     
BCME.IDX  	Barchart TSX Market Momentum Index Advances       	INDEX     
BCMF.IDX  	Barchart TSX Market Momentum Index Declines       	INDEX     
BCMG.IDX  	Barchart TSX Market Momentum Index Unch           	INDEX     
BCMM.IDX  	Barchart Market Momentum Index                    	INDEX     
BCMU.IDX  	Barchart Market Momentum Index Unch               	INDEX     
BDMA.IDX  	Barchart Market Momentum Advances Yesterday       	INDEX     
BDMC.IDX  	Barchart TSX Market Momentum Yesterday            	INDEX     
BDMD.IDX  	Barchart Market Momentum Declines Yesterday       	INDEX     
BDME.IDX  	Barchart TSX Market Momentum Advances Yesterday   	INDEX     
BDMF.IDX  	Barchart TSX Market Momentum Declines Yesterday   	INDEX     
BDMG.IDX  	Barchart TSX Market Momentum Unch Yesterday       	INDEX     
BDMM.IDX  	Barchart Market Momentum Yesterday                	INDEX     
BDMU.IDX  	Barchart Market Momentum Unch Yesterday           	INDEX     
BFMA.IDX  	Barchart Market Momentum Advances Last Week       	INDEX     
BFMC.IDX  	Barchart TSX Market Momentum Last Week            	INDEX     
BFMD.IDX  	Barchart Market Momentum Declines Last Week       	INDEX     
BFME.IDX  	Barchart TSX Market Momentum Advances Last Week   	INDEX     
BFMF.IDX  	Barchart TSX Market Momentum Declines Last Week   	INDEX     
BFMG.IDX  	Barchart TSX Market Momentum Unch Last Week       	INDEX     
BFMM.IDX  	Barchart Market Momentum Last Week                	INDEX     
BFMU.IDX  	Barchart Market Momentum Unch Last Week           	INDEX     
BFX.IDX   	BEL 20 - Belgium                                  	INDEX     
BGMA.IDX  	Barchart Market Momentum Advances Last Month      	INDEX     
BGMC.IDX  	Barchart TSX Market Momentum Last Month           	INDEX     
BGMD.IDX  	Barchart Market Momentum Declines Last Month      	INDEX     
BGME.IDX  	Barchart TSX Market Momentum Advances Last Month  	INDEX     
BGMF.IDX  	Barchart TSX Market Momentum Declines Last Month  	INDEX     
BGMG.IDX  	Barchart TSX Market Momentum Unch Last Month      	INDEX     
BGMM.IDX  	Barchart Market Momentum Last Month               	INDEX     
BGMU.IDX  	Barchart Market Momentum Unch Last Month          	INDEX     
BJE.IDX   	NYSE Arca Mini-Biotechnology In-                  	INDEX     
BKNIF.IDX 	Bank Nifty                                        	INDEX     
BKX.IDX   	KBW Bank Index                                    	INDEX     
BOXR.IDX  	S&P C.S. Ma-Boston Home Price Index               	INDEX     
BRTI.IDX  	Bitcoin Real Time Index                           	INDEX     
BSESN.IDX 	BSE 30 - India                                    	INDEX     
BTK.IDX   	AMEX Biotechnology Index                          	INDEX     
BTS.IDX   	AMEX Biotechnology Index Final                    	INDEX     
BVSP.IDX  	Bovespa - Brazil                                  	INDEX     
BWH.IDX   	POWERSHARES WILDERHILL CLEAN EN                   	INDEX     
BXD.IDX   	CBOE DJIA BUYWRITE INDEX                          	INDEX     
BXM.IDX   	CBOE BUYWRITE MONTHLY INDEX                       	INDEX     
BXN.IDX   	CBOE BUYWRITE MONTHLY INDEX                       	INDEX     
BXR.IDX   	CBOE RUSSELL 2000 BUYWRITE INDE                   	INDEX     
BXY.IDX   	CBOE S& P 500 BUYWRITE    INDEX                   	INDEX     
BZJ.IDX   	NYSE Arca Mini-Oil Index                          	INDEX     
CAC40.IDX 	Paris CAC 40                                      	INDEX     
CASE.IDX  	Egyptian EGX30                                    	INDEX     
CELS.IDX  	NASDAQ Clean Edge Green Energy                    	INDEX     
